Date,Open,High,Low,Close,Adj Close,Volume
1997-04-28,36.500000,36.500000,35.125000,23.101665,35.375000,200500
1997-04-29,35.500000,35.625000,35.125000,23.020039,35.250000,150700
1997-04-30,35.125000,35.500000,33.875000,23.183294,35.500000,1056500
1997-05-01,35.500000,35.875000,35.250000,23.183294,35.500000,379000
1997-05-02,35.625000,35.625000,33.375000,22.448616,34.375000,513500
1997-05-05,35.375000,36.000000,34.750000,22.938410,35.125000,1545300
1997-05-06,35.625000,35.875000,35.375000,23.346561,35.750000,1160200
1997-05-07,36.750000,36.750000,35.500000,23.183294,35.500000,1550900
1997-05-08,35.500000,36.500000,35.375000,23.754713,36.375000,976300
1997-05-09,36.625000,36.812500,35.875000,23.999615,36.750000,980700
1997-05-12,37.125000,38.500000,37.125000,25.060822,38.375000,1288300
1997-05-13,39.000000,39.171799,38.250000,25.060822,38.375000,1688100
1997-05-14,38.750000,39.000000,38.250000,25.468983,39.000000,1241800
1997-05-15,39.125000,40.125000,39.125000,26.040388,39.875000,1410500
1997-05-16,39.375000,39.375000,38.500000,25.387335,38.875000,301200
1997-05-19,38.250000,38.500000,37.500000,24.979185,38.250000,422500
1997-05-20,38.375000,39.250000,38.250000,25.632242,39.250000,532100
1997-05-21,39.750000,39.875000,39.500000,25.877142,39.625000,248300
1997-05-22,39.875000,39.875000,38.625000,25.305714,38.750000,467800
1997-05-23,39.500000,39.750000,39.000000,25.795506,39.500000,1008800
1997-05-27,39.500000,39.625000,38.875000,25.550615,39.125000,813200
1997-05-28,39.125000,39.125000,38.500000,25.305714,38.750000,946500
1997-05-29,38.625000,38.625000,37.750000,24.897554,38.125000,775400
1997-05-30,37.500000,37.750000,37.000000,24.326145,37.250000,582300
1997-06-02,37.750000,37.750000,37.000000,24.162876,37.000000,322400
1997-06-03,38.250000,39.250000,37.875000,25.550615,39.125000,630300
1997-06-04,39.625000,40.250000,39.625000,26.122032,40.000000,846800
1997-06-05,40.000000,40.000000,39.125000,25.632242,39.250000,584900
1997-06-06,38.875000,40.125000,38.750000,26.040388,39.875000,629700
1997-06-09,39.750000,39.875000,39.250000,25.713869,39.375000,269100
1997-06-10,39.625000,39.750000,39.125000,25.795506,39.500000,635700
1997-06-11,39.875000,39.875000,38.875000,25.632242,39.250000,508200
1997-06-12,39.375000,39.375000,38.625000,25.550615,39.125000,465100
1997-06-13,39.500000,39.875000,39.250000,25.713869,39.375000,438800
1997-06-16,38.875000,38.875000,37.875000,24.897554,38.125000,217400
1997-06-17,37.875000,38.125000,37.750000,24.815912,38.000000,373600
1997-06-18,37.750000,38.125000,37.375000,24.407784,37.375000,240900
1997-06-19,38.000000,38.250000,37.625000,24.734301,37.875000,388500
1997-06-20,37.750000,37.750000,37.250000,24.571039,37.625000,298000
1997-06-23,38.000000,38.000000,37.500000,24.571039,37.625000,330000
1997-06-24,37.875000,37.937500,37.375000,24.693485,37.812500,638900
1997-06-25,38.625000,38.750000,37.562500,24.652670,37.750000,1003600
1997-06-26,38.437500,38.625000,37.937500,25.020002,38.312500,916600
1997-06-27,38.437500,38.562500,37.750000,24.897554,38.125000,890000
1997-06-30,38.500000,39.375000,38.250000,25.550615,39.125000,1082300
1997-07-01,39.125000,39.500000,39.125000,25.795506,39.500000,268600
1997-07-02,39.312500,39.500000,39.125000,25.795506,39.500000,226400
1997-07-03,39.437500,39.500000,39.125000,25.632242,39.250000,71800
1997-07-07,39.625000,39.750000,38.625000,25.795506,39.500000,251700
1997-07-08,39.250000,39.250000,38.500000,25.509794,39.062500,151700
1997-07-09,39.375000,39.375000,38.500000,25.264904,38.687500,220800
1997-07-10,38.750000,38.875000,38.250000,25.183266,38.562500,167300
1997-07-11,38.500000,38.562500,37.750000,25.020002,38.312500,232000
1997-07-14,38.187500,38.250000,37.375000,24.611843,37.687500,157100
1997-07-15,37.687500,37.687500,36.875000,24.285324,37.187500,261000
1997-07-16,37.187500,37.687500,37.125000,24.611843,37.687500,171300
1997-07-17,37.500000,37.625000,37.187500,24.366957,37.312500,138300
1997-07-18,37.312500,37.437500,36.500000,24.162876,37.000000,86600
1997-07-21,37.312500,37.500000,37.187500,24.489403,37.500000,137800
1997-07-22,37.375000,37.562500,37.062500,24.530222,37.562500,312000
1997-07-23,37.437500,37.546799,36.937500,24.407784,37.375000,261800
1997-07-24,37.187500,37.203098,36.750000,24.081249,36.875000,216500
1997-07-25,36.937500,37.000000,36.687500,24.122051,36.937500,207300
1997-07-28,37.437500,37.625000,35.250000,23.836351,36.500000,438500
1997-07-29,36.000000,36.000000,35.312500,23.264923,35.625000,695300
1997-07-30,35.687500,35.765598,35.437500,23.264923,35.625000,456500
1997-07-31,35.250000,35.312500,34.750000,22.734318,34.812500,162200
1997-08-01,35.000000,35.375000,34.750000,23.101665,35.375000,247100
1997-08-04,35.187500,35.562500,35.125000,23.183294,35.500000,102400
1997-08-05,35.562500,36.062500,35.375000,23.501019,35.875000,271400
1997-08-06,36.250000,36.437500,36.187500,23.828566,36.375000,517700
1997-08-07,36.562500,36.562500,36.375000,23.910446,36.500000,101300
1997-08-08,36.312500,36.562500,36.000000,23.582897,36.000000,127500
1997-08-11,36.125000,36.125000,35.187500,23.501019,35.875000,153700
1997-08-12,35.875000,35.937500,35.500000,23.255354,35.500000,145900
1997-08-13,36.125000,36.250000,35.437500,23.337254,35.625000,323400
1997-08-14,35.562500,35.750000,35.500000,23.378181,35.687500,106900
1997-08-15,35.875000,36.062500,35.750000,23.460068,35.812500,66200
1997-08-18,35.875000,36.500000,35.375000,23.910446,36.500000,146100
1997-08-19,37.875000,38.500000,37.875000,25.220596,38.500000,130600
1997-08-20,38.562500,38.937500,38.187500,25.466259,38.875000,172800
1997-08-21,38.250000,38.312500,37.750000,24.770233,37.812500,88900
1997-08-22,37.687500,38.250000,37.687500,24.974951,38.125000,103700
1997-08-25,37.937500,38.125000,37.750000,24.893049,38.000000,56800
1997-08-26,38.000000,38.250000,37.875000,24.934002,38.062500,57700
1997-08-27,38.625000,39.125000,38.437500,25.548147,39.000000,143300
1997-08-28,39.125000,39.125000,38.562500,25.507185,38.937500,362500
1997-08-29,39.062500,39.250000,38.937500,25.589094,39.062500,71300
1997-09-02,39.000000,39.750000,38.937500,26.039455,39.750000,265900
1997-09-03,39.687500,39.750000,39.437500,25.875679,39.500000,112800
1997-09-04,39.375000,39.375000,39.250000,25.752855,39.312500,109800
1997-09-05,39.437500,39.500000,39.375000,25.793795,39.375000,79500
1997-09-08,39.937500,40.187500,39.687500,26.326052,40.187500,200600
1997-09-09,40.000000,40.812500,39.937500,26.735472,40.812500,219400
1997-09-10,40.750000,40.750000,40.125000,26.366987,40.250000,100200
1997-09-11,40.187500,40.875000,40.187500,26.530767,40.500000,163000
1997-09-12,40.812500,41.750000,40.687500,27.349617,41.750000,231500
1997-09-15,41.750000,42.187500,41.500000,27.472427,41.937500,120600
1997-09-16,41.937500,42.562500,41.937500,27.881880,42.562500,215800
1997-09-17,42.937500,43.562500,42.937500,28.496000,43.500000,363500
1997-09-18,43.625000,44.750000,43.625000,28.987307,44.250000,248900
1997-09-19,44.750000,45.500000,44.750000,29.560497,45.125000,125100
1997-09-22,45.187500,45.250000,44.062500,29.110147,44.437500,131800
1997-09-23,43.875000,44.187500,43.875000,28.864473,44.062500,66400
1997-09-24,44.250000,44.562500,44.250000,29.028259,44.312500,131300
1997-09-25,44.562500,44.750000,44.312500,29.151091,44.500000,77900
1997-09-26,43.687500,43.687500,42.562500,28.127527,42.937500,146000
1997-09-29,42.125000,42.937500,42.125000,28.127527,42.937500,28300
1997-09-30,42.312500,42.562500,42.250000,27.840919,42.500000,177900
1997-10-01,42.937500,43.250000,42.750000,28.291292,43.187500,211900
1997-10-02,43.062500,43.062500,42.000000,27.677147,42.250000,146000
1997-10-03,42.750000,43.125000,42.750000,28.168468,43.000000,104500
1997-10-06,42.625000,43.125000,42.625000,27.922802,42.625000,43600
1997-10-07,42.625000,42.750000,42.250000,27.922802,42.625000,80400
1997-10-08,42.687500,42.687500,42.062500,27.881880,42.562500,54200
1997-10-09,42.437500,42.437500,42.125000,27.636206,42.187500,111800
1997-10-10,42.125000,42.187500,41.625000,27.349617,41.750000,123900
1997-10-13,41.875000,42.437500,41.875000,27.595259,42.125000,29200
1997-10-14,42.125000,42.437500,41.625000,27.636206,42.187500,100400
1997-10-15,42.187500,42.500000,42.125000,27.799980,42.437500,47400
1997-10-16,42.750000,43.375000,42.500000,27.922802,42.625000,158900
1997-10-17,42.250000,42.250000,41.562500,27.349617,41.750000,51800
1997-10-20,41.750000,42.000000,41.687500,27.472427,41.937500,30200
1997-10-21,41.687500,42.000000,41.500000,27.513388,42.000000,40300
1997-10-22,40.625000,40.625000,40.187500,26.612650,40.625000,84900
1997-10-23,39.562500,39.875000,39.500000,25.957565,39.625000,50900
1997-10-24,39.500000,39.562500,38.750000,25.466259,38.875000,99800
1997-10-27,38.875000,39.000000,37.375000,24.483627,37.375000,96200
1997-10-28,36.437500,38.187500,36.375000,25.015882,38.187500,90600
1997-10-29,39.125000,40.000000,39.062500,25.875679,39.500000,123900
1997-10-30,39.625000,39.750000,39.375000,25.998512,39.687500,53700
1997-10-31,39.937500,39.937500,39.375000,25.834742,39.437500,60900
1997-11-03,40.875000,40.875000,40.250000,26.776428,40.875000,85500
1997-11-04,40.500000,40.562500,40.250000,26.561293,40.437500,38100
1997-11-05,40.250000,40.312500,40.062500,26.479187,40.312500,107200
1997-11-06,40.125000,40.437500,40.062500,26.479187,40.312500,53500
1997-11-07,39.750000,40.000000,39.625000,26.068655,39.687500,81700
1997-11-10,39.812500,40.187500,39.812500,26.232872,39.937500,44600
1997-11-11,40.000000,40.312500,40.000000,26.397095,40.187500,29400
1997-11-12,40.062500,40.375000,39.750000,26.150774,39.812500,192500
1997-11-13,39.812500,40.125000,39.812500,26.191832,39.875000,163200
1997-11-14,39.812500,40.375000,39.625000,26.191832,39.875000,94200
1997-11-17,39.937500,40.125000,39.812500,26.273920,40.000000,34200
1997-11-18,39.750000,39.875000,39.500000,25.986559,39.562500,66700
1997-11-19,39.625000,39.812500,39.437500,26.109720,39.750000,42800
1997-11-20,39.750000,40.500000,39.750000,26.602358,40.500000,186200
1997-11-21,40.250000,40.750000,40.062500,26.766563,40.750000,62900
1997-11-24,39.937500,40.000000,39.062500,25.699184,39.125000,91800
1997-11-25,39.062500,39.062500,38.687500,25.534983,38.875000,45500
1997-11-26,38.000000,38.250000,37.250000,24.467596,37.250000,62600
1997-11-28,38.000000,38.437500,37.875000,24.878122,37.875000,51500
1997-12-01,38.000000,38.437500,37.937500,25.165497,38.312500,101200
1997-12-02,38.312500,38.312500,37.750000,24.796021,37.750000,43700
1997-12-03,37.625000,37.750000,36.250000,24.426533,37.187500,137900
1997-12-04,37.625000,38.500000,37.562500,24.960239,38.000000,43600
1997-12-05,37.500000,37.625000,37.062500,24.631804,37.500000,48600
1997-12-08,37.437500,37.500000,37.000000,24.303389,37.000000,43400
1997-12-09,37.250000,37.375000,36.500000,24.303389,37.000000,119800
1997-12-10,36.687500,36.937500,36.375000,23.974962,36.500000,95100
1997-12-11,36.375000,36.500000,36.125000,23.892855,36.375000,173600
1997-12-12,36.187500,36.312500,35.625000,23.400219,35.625000,96400
1997-12-15,35.625000,35.750000,35.187500,23.112837,35.187500,83100
1997-12-16,35.375000,36.000000,35.375000,23.400219,35.625000,48900
1997-12-17,36.437500,37.000000,36.312500,24.303389,37.000000,85600
