Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,41.666698,43.083302,41.333302,256.999817,42.833302,2499858
2000-01-04,42.416698,42.416698,40.833302,245.500183,40.916698,5705784
2000-01-05,40.666698,40.666698,39.666698,241.000183,40.166698,3944736
2000-01-06,13.638900,13.638900,13.638900,245.499603,40.916599,0
2000-01-07,40.166698,42.416698,40.000000,250.999817,41.833302,26075754
2000-01-10,41.500000,43.833302,41.500000,256.999817,42.833302,8724240
2000-01-11,43.333302,43.333302,42.000000,255.000000,42.500000,13894524
2000-01-12,41.833302,42.916698,41.666698,253.999817,42.333302,4728762
2000-01-13,42.500000,43.000000,42.166698,256.999817,42.833302,7585056
2000-01-14,43.000000,43.333302,41.916698,258.000000,43.000000,7360236
2000-01-17,42.666698,43.500000,42.500000,259.999817,43.333302,5227236
2000-01-18,43.666698,43.583302,43.000000,259.999817,43.333302,5251446
2000-01-19,42.166698,43.333302,41.833302,258.000000,43.000000,6442506
2000-01-20,41.666698,43.166698,41.666698,255.000000,42.500000,7034544
2000-01-21,42.500000,42.750000,41.500000,252.000000,42.000000,7022826
2000-01-24,42.166698,42.166698,40.833302,246.000000,41.000000,4082364
2000-01-25,41.000000,41.000000,38.416698,232.500000,38.750000,7335576
2000-01-26,39.166698,40.833302,38.916698,240.000000,40.000000,9634068
2000-01-27,40.166698,40.500000,39.500000,239.500183,39.916698,4461426
2000-01-28,40.666698,40.666698,38.333302,232.500000,38.750000,3604662
2000-01-31,38.833302,38.833302,36.916698,222.499817,37.083302,5787486
2000-02-01,37.833302,37.833302,36.750000,222.499817,37.083302,10411344
2000-02-02,36.500000,38.333302,36.500000,229.999817,38.333302,8853192
2000-02-03,38.333302,38.666698,37.833302,228.000000,38.000000,6515946
2000-02-04,38.333302,38.500000,37.333302,226.000183,37.666698,3531420
2000-02-07,38.250000,38.500000,37.500000,228.000000,38.000000,4963662
2000-02-08,37.500000,38.666698,37.500000,228.000000,38.000000,4713030
2000-02-09,37.833302,38.333302,37.000000,225.000000,37.500000,8010936
2000-02-10,37.000000,38.416698,36.666698,225.000000,37.500000,4062996
2000-02-11,37.666698,37.666698,35.166698,213.000000,35.500000,9952902
2000-02-14,35.833302,36.833302,35.000000,213.499817,35.583302,9276300
2000-02-15,34.666698,35.500000,34.000000,207.499817,34.583302,14371038
2000-02-16,35.000000,36.000000,34.750000,215.500183,35.916698,19060182
2000-02-17,35.500000,36.333302,35.333302,216.000000,36.000000,7591068
2000-02-18,36.333302,36.583302,34.250000,211.000183,35.166698,6235398
2000-02-21,34.500000,34.750000,33.166698,208.000183,34.666698,13557024
2000-02-22,35.000000,36.250000,33.583302,201.499817,33.583302,11829276
2000-02-23,34.333302,35.916698,34.166698,215.500183,35.916698,8992746
2000-02-24,35.833302,36.250000,35.166698,216.000000,36.000000,20280744
2000-02-25,36.500000,36.500000,33.333302,207.000000,34.500000,5586210
