Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,50.000000,50.000000,45.099998,230.000000,46.000000,45505
2000-01-04,46.299999,46.500000,44.000000,224.500000,44.900002,30176
2000-01-05,44.900002,44.900002,44.900002,224.500000,44.900002,0
2000-01-06,44.900002,44.900002,44.900002,224.500000,44.900002,0
2000-01-07,39.400002,43.000000,38.000000,212.500000,42.500000,26950
2000-01-10,45.000000,49.799999,45.000000,233.000000,46.599998,26515
2000-01-11,48.900002,49.500000,47.000000,235.000000,47.000000,44440
2000-01-12,47.000000,48.000000,46.000000,240.000000,48.000000,8220
2000-01-13,48.000000,49.500000,47.500000,240.000000,48.000000,71600
2000-01-14,50.000000,65.000000,50.000000,305.000000,61.000000,207951
2000-01-17,65.000000,95.000000,65.000000,432.500000,86.500000,181245
2000-01-18,90.000000,95.000000,87.000000,437.500000,87.500000,138207
2000-01-19,90.000000,93.000000,80.000000,422.500000,84.500000,62113
2000-01-20,86.000000,88.000000,83.000000,435.000000,87.000000,56310
2000-01-21,85.000000,115.000000,85.000000,550.000000,110.000000,84406
2000-01-24,147.000000,200.000000,145.000000,915.000000,183.000000,182147
2000-01-25,180.000000,183.000000,151.000000,900.000000,180.000000,77267
2000-01-26,184.000000,194.000000,173.000000,865.000000,173.000000,78143
2000-01-27,175.000000,185.000000,155.000000,825.000000,165.000000,64504
2000-01-28,180.000000,180.000000,137.000000,695.000000,139.000000,49280
2000-01-31,133.000000,138.000000,113.000000,645.000000,129.000000,71931
2000-02-01,135.000000,170.000000,135.000000,800.000000,160.000000,113570
2000-02-02,167.500000,172.000000,153.000000,790.000000,158.000000,58305
2000-02-03,167.000000,170.000000,161.500000,835.000000,167.000000,43106
2000-02-04,165.000000,196.000000,165.000000,972.500000,194.500000,171421
2000-02-07,195.000000,225.000000,195.000000,1095.000000,219.000000,104427
2000-02-08,225.000000,233.000000,210.000000,1055.000000,211.000000,72548
2000-02-09,215.000000,215.000000,185.000000,950.000000,190.000000,77668
2000-02-10,181.000000,185.000000,166.000000,925.000000,185.000000,84993
2000-02-11,190.000000,203.000000,182.000000,935.000000,187.000000,57898
2000-02-14,185.000000,209.000000,180.000000,1000.000000,200.000000,71617
2000-02-15,200.000000,205.000000,175.000000,875.000000,175.000000,69699
2000-02-16,177.000000,188.000000,175.000000,880.000000,176.000000,53552
2000-02-17,177.000000,178.000000,166.000000,855.000000,171.000000,31561
