Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,144.302002,146.951996,134.906998,552.156006,138.039001,4596523
2000-01-04,134.906998,135.630005,123.584000,504.936005,126.234001,2724344
2000-01-05,42.078098,42.078098,42.078098,504.936005,126.234001,0
2000-01-06,42.078098,42.078098,42.078098,504.936005,126.234001,0
2000-01-07,120.453003,122.379997,114.189003,487.592010,121.898003,4219533
2000-01-10,124.066002,131.052994,124.066002,517.463989,129.365997,2010952
2000-01-11,131.292999,132.016006,126.957001,521.320007,130.330002,2527540
2000-01-12,127.680000,128.884003,125.512001,508.791992,127.197998,1634065
2000-01-13,127.920998,130.811996,127.439003,523.247986,130.811996,1312030
2000-01-14,132.498001,136.834000,131.774994,543.484009,135.871002,1690083
2000-01-17,138.520996,139.725006,135.871002,558.900024,139.725006,1170833
2000-01-18,139.725006,141.651993,138.761002,563.719971,140.929993,2090742
2000-01-19,139.725006,139.966003,133.220993,544.447998,136.112000,1174561
2000-01-20,137.315994,138.761002,134.906998,544.447998,136.112000,988106
2000-01-21,136.112000,138.520996,135.389008,548.299988,137.074997,1906961
2000-01-24,138.039001,141.651993,134.906998,558.900024,139.725006,2195829
2000-01-25,137.798004,140.688995,137.798004,560.828003,140.207001,1153519
2000-01-26,141.651993,145.988998,141.651993,570.463989,142.615997,2540753
2000-01-27,144.061005,145.024994,140.447998,576.244019,144.061005,1296372
2000-01-28,144.302002,147.675003,142.375000,578.171997,144.542999,1813841
2000-01-31,142.134003,142.615997,135.630005,548.299988,137.074997,1169621
2000-02-01,138.520996,139.725006,134.906998,551.192017,137.798004,1693624
2000-02-02,140.447998,143.339005,138.279999,570.463989,142.615997,1420189
2000-02-03,143.339005,150.565994,142.615997,596.479980,149.119995,2014957
2000-02-04,154.179001,158.998001,151.289001,619.607971,154.901993,2086002
2000-02-07,154.901993,165.742996,154.901993,653.335999,163.334000,5481522
2000-02-08,164.296997,167.429001,161.406998,648.515991,162.128998,1729650
2000-02-09,162.369995,163.815994,157.792999,635.028015,158.757004,2133909
2000-02-10,154.179001,160.201996,152.733994,631.171997,157.792999,1270698
2000-02-11,159.720001,170.561005,158.274994,645.627991,161.406998,2411910
2000-02-14,163.815994,166.225006,155.625000,634.064026,158.516006,1647859
2000-02-15,158.998001,161.406998,154.901993,622.500000,155.625000,1094069
2000-02-16,155.625000,159.960999,150.565994,618.643982,154.660995,2445500
2000-02-17,156.587997,159.720001,154.901993,634.064026,158.516006,3522770
2000-02-18,160.201996,166.947006,160.201996,663.935974,165.983994,1590795
2000-02-21,158.998001,174.656006,158.998001,694.771973,173.692993,5511219
2000-02-22,183.087997,192.723999,171.283997,688.987976,172.246994,8308209
2000-02-23,180.679001,184.292999,177.065002,734.280029,183.570007,4179343
2000-02-24,190.315002,190.315002,182.123993,738.132019,184.533005,2561396
2000-02-25,186.701996,188.388000,180.679001,749.695984,187.423996,1492329
2000-02-28,187.906006,191.520004,185.496994,766.080017,191.520004,1249312
2000-02-29,192.242004,204.770004,190.796997,804.624023,201.156006,1440653
2000-03-01,203.565002,212.960007,205.251007,847.987976,211.996994,1423028
2000-03-02,216.815002,234.882996,215.610001,890.388000,222.597000,2133958
2000-03-03,224.764999,228.860001,215.850998,914.476013,228.619003,904073
2000-03-06,228.860001,231.028000,224.042007,903.875977,225.968994,1270283
2000-03-07,220.427994,223.800995,214.164993,872.075989,218.018997,1795299
2000-03-08,211.996994,214.406006,202.119995,842.203979,210.550995,1128294
2000-03-09,208.382996,209.106003,195.132996,786.315979,196.578995,1697962
2000-03-10,203.324005,204.770004,195.615005,790.168030,197.542007,1657111
2000-03-13,65.847504,65.847504,65.847504,790.168030,197.542007,0
2000-03-14,180.679001,193.929001,178.270004,763.187988,190.796997,2803616
2000-03-15,186.701996,195.615005,180.679001,736.208008,184.052002,2111551
2000-03-16,180.679001,186.701996,178.270004,715.971985,178.992996,707809
2000-03-17,187.906006,187.906006,176.343002,707.299988,176.824997,3686842
2000-03-20,183.087997,191.520004,183.087997,751.624023,187.906006,1681881
2000-03-21,186.701996,190.074005,181.884003,728.495972,182.123993,1732851
2000-03-22,188.628998,192.723999,185.496994,753.552002,188.388000,1993310
2000-03-23,189.110992,190.556000,181.160995,741.987976,185.496994,1157093
2000-03-24,185.496994,189.591995,182.606003,758.367981,189.591995,981581
2000-03-27,190.315002,192.242004,185.738007,748.731995,187.182999,808454
2000-03-28,187.182999,189.591995,179.955994,733.315979,183.328995,763918
2000-03-29,185.496994,185.496994,179.473999,727.536011,181.884003,937032
2000-03-30,181.160995,181.884003,171.042999,694.771973,173.692993,920507
2000-03-31,165.020004,180.679001,162.852005,722.716003,180.679001,2088356
2000-04-03,179.233994,179.233994,162.128998,650.443970,162.610992,2041503
2000-04-04,162.369995,166.225006,149.602005,607.080017,151.770004,2027439
2000-04-05,156.587997,156.587997,142.615997,592.627991,148.156998,3127349
2000-04-06,154.179001,168.634003,152.975006,668.752014,167.188004,2192973
2000-04-07,172.246994,173.210999,167.429001,679.351990,169.837997,1545819
2000-04-10,173.451996,178.270004,172.970001,697.659973,174.414993,1442882
2000-04-11,170.802002,170.802002,161.406998,656.228027,164.057007,1729916
2000-04-12,165.501999,167.429001,154.179001,616.716003,154.179001,1258660
2000-04-13,150.565994,155.865997,148.156998,621.536011,155.384003,2709766
2000-04-14,154.179001,154.179001,141.651993,573.356018,143.339005,2526897
2000-04-17,132.738998,138.279999,132.016006,543.484009,135.871002,3694468
2000-04-18,142.375000,142.375000,136.834000,565.643982,141.410995,2563878
2000-04-19,145.266006,154.179001,143.339005,605.156006,151.289001,2254711
2000-04-20,151.289001,156.106995,151.289001,620.572021,155.143005,750851
2000-04-21,51.714401,51.714401,51.714401,620.572021,155.143005,0
2000-04-24,51.714401,51.714401,51.714401,620.572021,155.143005,0
2000-04-25,153.457001,155.865997,151.770004,618.643982,154.660995,1165923
2000-04-26,157.792999,164.057007,157.792999,650.443970,162.610992,1892831
2000-04-27,163.815994,163.815994,157.070007,632.135986,158.033997,881437
2000-04-28,166.466003,166.947006,152.975006,643.700012,160.925003,2068555
2000-05-01,53.641602,53.641602,53.641602,643.700012,160.925003,0
2000-05-02,156.587997,160.925003,155.865997,639.843994,159.960999,1725254
2000-05-03,160.201996,166.225006,158.998001,655.263977,163.815994,1948757
2000-05-04,165.020004,168.151993,162.369995,655.263977,163.815994,1292890
2000-05-05,167.429001,177.065002,164.057007,677.424011,169.356003,1712270
2000-05-08,174.656006,176.102005,164.296997,661.044006,165.261002,1974273
2000-05-09,55.087002,55.087002,55.087002,661.044006,165.261002,0
2000-05-10,158.757004,159.720001,150.565994,616.716003,154.179001,3371332
2000-05-11,152.011002,154.660995,151.289001,609.971985,152.492996,1833085
2000-05-12,153.457001,154.179001,149.843002,602.263977,150.565994,1510817
2000-05-15,149.843002,154.179001,149.843002,610.935974,152.733994,913529
2000-05-16,152.975006,158.033997,152.975006,643.700012,160.925003,549095
2000-05-17,161.406998,161.888000,156.106995,630.208008,157.552002,1518065
2000-05-18,158.998001,160.925003,157.552002,638.880005,159.720001,1391206
2000-05-19,158.998001,158.998001,150.084000,601.299988,150.324997,2493270
2000-05-22,151.770004,152.975006,140.688995,570.463989,142.615997,4305064
2000-05-23,145.748001,145.748001,139.725006,568.536011,142.134003,3461729
2000-05-24,139.725006,140.929993,136.593002,549.263977,137.315994,2469074
2000-05-25,139.725006,145.266006,139.483994,579.135986,144.783997,1831790
2000-05-26,142.134003,143.339005,139.966003,567.572021,141.893005,1020517
2000-05-29,143.339005,144.542999,142.375000,573.356018,143.339005,684568
2000-05-30,144.542999,151.529007,144.542999,603.228027,150.807007,4744573
2000-05-31,152.975006,155.384003,151.048004,611.900024,152.975006,2754646
2000-06-01,50.991600,50.991600,50.991600,611.900024,152.975006,0
2000-06-02,154.179001,161.888000,151.770004,635.992004,158.998001,2807626
2000-06-05,157.792999,159.960999,155.384003,635.992004,158.998001,771041
2000-06-06,159.238007,162.369995,158.516006,635.992004,158.998001,1172344
2000-06-07,158.033997,158.033997,155.384003,628.280029,157.070007,984557
2000-06-08,157.792999,162.610992,157.311005,650.443970,162.610992,1692806
2000-06-09,162.610992,163.815994,160.684006,650.443970,162.610992,1351880
2000-06-12,54.203701,54.203701,54.203701,650.443970,162.610992,0
2000-06-13,162.610992,162.610992,157.070007,635.028015,158.757004,2263748
2000-06-14,159.479004,160.684006,158.033997,640.807983,160.201996,1291565
2000-06-15,161.406998,161.647003,159.720001,642.736023,160.684006,1873437
2000-06-16,161.406998,161.406998,157.792999,632.135986,158.033997,901433
2000-06-19,52.678001,52.678001,52.678001,632.135986,158.033997,0
2000-06-20,156.828995,162.610992,152.975006,626.351990,156.587997,1591285
2000-06-21,157.792999,157.792999,152.492996,614.791992,153.697998,730652
2000-06-22,154.660995,155.143005,146.470001,587.807983,146.951996,1821338
2000-06-23,48.984100,48.984100,48.984100,587.807983,146.951996,0
2000-06-26,149.360992,154.901993,149.360992,616.716003,154.179001,2411960
2000-06-27,154.179001,158.516006,154.179001,624.427979,156.106995,1753357
2000-06-28,156.106995,158.998001,156.106995,632.135986,158.033997,1081865
2000-06-29,158.274994,158.757004,156.348007,627.315979,156.828995,1318680
2000-06-30,157.792999,161.406998,156.828995,627.315979,156.828995,580614
2000-07-03,160.684006,160.684006,157.311005,631.171997,157.792999,458060
2000-07-04,158.998001,159.479004,157.311005,631.171997,157.792999,356609
2000-07-05,158.998001,161.888000,157.792999,639.843994,159.960999,636258
2000-07-06,158.757004,160.925003,152.251999,609.007996,152.251999,2231395
2000-07-07,50.750702,50.750702,50.750702,609.007996,152.251999,0
2000-07-10,157.792999,158.033997,154.660995,627.315979,156.828995,653410
2000-07-11,154.179001,157.311005,154.179001,626.351990,156.587997,261895
2000-07-12,157.792999,157.792999,155.384003,629.244019,157.311005,214113
2000-07-13,158.757004,161.166000,156.587997,639.843994,159.960999,368493
2000-07-14,160.201996,166.225006,160.201996,660.080017,165.020004,1318082
